ghost_slug,canonical_slug,method,confidence
1688-dropshipping-compliance-listing-gates,1688-dropshipping-2025-supplier-guide,override,1.000
1688-dropshipping-margin-gates-blue-ocean,1688-dropshipping-2025-supplier-guide,override,1.000
1688-dropshipping-supplier-gate-qc-loop,1688-dropshipping-2025-supplier-guide,override,1.000
ai-agent-multi-platform-content-stack,make-money-doing-ai-agent-ops-stack,override,1.000
ai-app-layer-evening-blocks-scoped-delivery,ai-for-making-money-evening-media-lanes,override,1.000
ai-digital-product-spine-scarcity-delivery,digital-product-passive-income-scarcity-delivery-sleeve,override,1.000
ai-digital-product-template-factory-sku-loop,ai-digital-product-business-zero-inventory,override,1.000
ai-proven-methods-side-hustle-operator-loop,i-make-40k-rmbmonth-with-ai-side-hustles-5-proven-methods-for-2025,override,1.000
ai-skills-students-bounded-practice-lanes,five-ai-skills-beginners-can-monetize,override,1.000
ai-skills-students-labeling-writing-path,five-ai-skills-beginners-can-monetize,override,1.000
ai-virtual-ecommerce-tiktok-relay-cell,ai-virtual-ecommerce-four-month-playbook,override,1.000
digital-product-passive-income-triple-sleeve,digital-product-passive-income-triple-path-vault,override,1.000
douyin-vs-red-commerce-paths-comparison,douyin-vs-xiaohongshu-monetization-the-ultimate-platform-by-platform-guide,override,1.000
douyin-vs-red-platform-comparison-monetization,douyin-vs-xiaohongshu-monetization-the-ultimate-platform-by-platform-guide,override,1.000
dropship-compliance-starter-margin-gates,dropshipping-viable-2026-compliance-guide,override,1.000
e-commerce-money-toolkit-selection-pool,e-commerce-money-cross-border-lean-toolkit,override,1.000
earn-additional-income-home-operator-loop,earn-additional-income-online-electronic-stall-evening-routine,override,1.000
eight-wfh-hustles-evening-service-blocks,evening-service-blocks-good-side-hustles-from-home,override,1.000
eight-wfh-hustles-evening-stack,wfh-evening-hustle-stack-from-home,override,1.000
earn-and-make-money-student-fiction-evening-blocks,earn-and-make-money-ai-fiction-sprint-students,override,1.000
earn-and-make-money-student-fiction-skills-path,earn-and-make-money-ai-fiction-sprint-students,override,1.000
earn-money-from-freelancing-escrow-milestone-map,strategies-to-make-money-escrow-milestone-map,override,1.000
earn-money-online-micro-offer-validation-ladder,ideas-of-side-hustles-student-platform-sprint,override,1.000
earn-money-online-without-investment-ai-comic-lane,online-side-hustles-beginners-ai-comic-order-gate,override,1.000
earn-more-income-novel-clip-steady-posting,ways-for-extra-income-student-novel-promo-playbook,override,1.000
earn-more-income-red-matrix-note-commerce,earn-more-income-red-note-matrix-factory,override,1.000
earn-more-income-red-note-commerce-spine,earn-more-income-red-note-matrix-factory,override,1.000
etf-starter-quality-funds-expense-gates,etf-index-funds-passive-income-tool,override,1.000
four-pillars-creator-economy-monetization-spine,four-pillars-profitable-creator-business,override,1.000
freelance-coding-ai-bounded-offers,strategies-to-make-money-dev-marketplace-escrow,override,1.000
freelance-coding-ai-human-coupling-spine,strategies-to-make-money-dev-marketplace-escrow,override,1.000
freelance-coding-ai-side-income-escrow-scope,strategies-to-make-money-dev-marketplace-escrow,override,1.000
freelance-platforms-comparison-upwork-fiverr,earn-online-work-freelance-platforms-guide,override,1.000
freelancing-side-dev-ai-assisted-delivery,freelancing-side-vetted-dev-marketplace-milestones,override,1.000
give-me-money-online-tiktok-content-rails,side-hustle-ecommerce-tiktok-shop-2026-playbook,override,1.000
give-me-money-online-tiktok-shop-matrix,side-hustle-ecommerce-tiktok-shop-2026-playbook,override,1.000
index-fund-sip-starter-allocation-gates,ordinary-investors-index-fund-roadmap,override,1.000
index-fund-sip-starter-operator-ledger,ordinary-investors-index-fund-roadmap,override,1.000
index-fund-starter-roadmap-dca-core,ordinary-investors-index-fund-roadmap,override,1.000
index-funds-starter-passive-sleeve,ordinary-investors-index-fund-roadmap,override,1.000
knowledge-funnel-overseas-bridge-packaging,knowledge-monetization-one-person-company-2025,override,1.000
knowledge-funnel-paid-community-bridge,knowledge-monetization-one-person-company-2025,override,1.000
knowledge-funnel-paid-community-ladder,knowledge-monetization-one-person-company-2025,override,1.000
knowledge-funnel-paid-community-lite,knowledge-monetization-one-person-company-2025,override,1.000
knowledge-opc-private-domain-defend-attack,knowledge-monetization-one-person-company-2025,override,1.000
make-money-content-creator-monetization-spine,make-money-content-creator-opc-monetization-map,override,1.000
make-money-doing-ai-agent-coze-delivery-spine,online-income-ways-coze-creator-agent-team,override,1.000
make-more-income-wfh-batch-content-spine,make-more-income-evening-virtual-grid,override,1.000
omnichannel-content-opc-path,content-creator-side-hustle-opc-content-path-2026,override,1.000
online-course-earn-money-knowledge-funnel,knowledge-monetization-full-funnel-playbook,override,1.000
online-course-earn-money-without-heavy-lms,courses-for-side-hustle-lightweight-stack,override,1.000
online-course-zero-audience-waitlist-wave,knowledge-monetization--online-courses-from-zero-to-selling-your-expertise,override,1.000
online-courses-make-money-knowledge-funnel,knowledge-monetization-full-funnel-playbook,override,1.000
online-income-ways-coze-agent-workflows,online-income-ways-coze-creator-agent-team,override,1.000
online-income-ways-coze-automation-bounded-workflow,online-income-ways-coze-creator-agent-team,override,1.000
online-income-ways-coze-skill-store-loop,ai-for-making-money-coze-skill-store-sleeve,override,1.000
online-side-hustles-beginners-capital-gates,online-side-hustles-beginners-startup-cost-gate,override,1.000
online-side-hustles-beginners-filter-gate,online-side-hustles-beginners-scam-filter-gate,override,1.000
paid-community-funnel-lite-pyramid,courses-for-side-hustle-paid-community-funnel,override,1.000
paid-community-funnel-lite-trust-first,courses-for-side-hustle-paid-community-funnel,override,1.000
passive-income-digital-triple-export-lane,digital-product-passive-income-triple-path-vault,override,1.000
passive-income-hustles-index-fund-sleeve,passive-income-hustles-index-allocator-discipline,override,1.000
passive-income-hustles-index-sip-spine,passive-income-hustles-index-allocator-discipline,override,1.000
passive-income-hustles-index-sleeve-map,passive-income-hustles-index-allocator-discipline,override,1.000
passive-income-hustles-yield-shield-not-timing,passive-income-hustles-index-allocator-discipline,override,1.000
passive-income-ideas-work-caps-honest,passive-income-ideas-that-actually-work-nonphysical-filters,override,1.000
passive-income-social-media-alliance-relay,passive-income-social-media-index-sleeve-discipline,override,1.000
passive-income-social-media-save-relay-spine,passive-income-social-media-index-sleeve-discipline,override,1.000
profit-make-money-shopee-light-export-spine,profit-make-money-shopee-light-export-routine,override,1.000
red-buyer-commerce-note-spine-virtual-sku,xiaohongshu-buyer-commerce-small-creator-advantage,override,1.000
red-three-paths-buyer-commerce-conversion-spine,three-xiaohongshu-monetization-paths,override,1.000
seven-ai-income-paths-mine-dig-shovel-map,seven-ai-side-hustle-paths,override,1.000
side-hustle-ecommerce-two-plays-listing-relay,side-hustle-ecommerce-tiktok-shop-2026-playbook,override,1.000
social-media-side-hustle-note-spine-weight-gate,xiaohongshu-monetization-note-commerce-grid,override,1.000
start-earning-passive-income-honest-gates,boring-path-passive-income-index-funds-reits,override,1.000
start-earning-without-investment-capital-gates,start-earning-money-online-without-investment-triple-lane,override,1.000
start-earning-without-investment-proof-loop,start-earning-money-online-without-investment-triple-lane,override,1.000
strategies-freelance-escrow-milestone-fences,strategies-to-make-money-escrow-milestone-map,override,1.000
strategies-freelance-escrow-milestone-map,strategies-to-make-money-escrow-milestone-map,override,1.000
strategies-freelance-escrow-milestone-spine,strategies-to-make-money-escrow-milestone-map,override,1.000
strategies-freelance-gigs-platform-scorecard,earn-money-from-freelancing-platform-escrow-scorecard,override,1.000
student-novel-promo-side-income-evening-blocks,ways-for-extra-income-student-novel-promo-playbook,override,1.000
student-side-hustle-ideas-campus-caps,side-hustles-for-students--beginners-4-zero-experience-paths-to-start-earning,override,1.000
student-side-hustle-ideas-campus-lanes,side-hustles-for-students--beginners-4-zero-experience-paths-to-start-earning,override,1.000
student-side-hustle-ideas-campus-schedule,side-hustles-for-students--beginners-4-zero-experience-paths-to-start-earning,override,1.000
student-side-hustle-ideas-campus-time-blocks,side-hustles-for-students--beginners-4-zero-experience-paths-to-start-earning,override,1.000
to-do-money-freelance-platform-comparison,to-do-money-curated-gig-escrow-map,override,1.000
upwork-survival-playbook-freelance-escrow,upwork-freelance-survival-guide-2026,override,1.000
virtual-stores-info-arbitrage-starter,virtual-product-stores-three-platforms-guide,override,1.000
virtual-stores-side-hustle-digital-sku-loop,virtual-product-stores-three-platforms-guide,override,1.000
virtual-ways-make-money-three-platform-sleeve,three-platform-virtual-store-side-hustle-test,override,1.000
ways-for-students-to-earn-money-online-with-ai-short-fiction,student-ai-fiction-writing-side-income,override,1.000
ways-make-money-freelancing-platform-scorecard,earn-money-from-freelancing-platform-escrow-scorecard,override,1.000
ways-passive-income-online-cash-stack,boring-path-passive-income-index-funds-reits,override,1.000
ways-to-make-profit-pdd-relay-cell,work-from-home-money-earning-pdd-virtual-roi-cell,override,1.000
wfh-virtual-triad-remote-income-lanes,online-work-from-home-side-hustles-virtual-triad,override,1.000
work-earn-online-freelance-caps-evening,earn-money-online-freelancing-five-platforms-2026,override,1.000
work-from-home-money-earning-evening-blocks,work-from-home-evening-money-blocks-guide,override,1.000
work-from-home-money-earning-caps-evening,eight-zero-barrier-side-hustles-from-home-2025,override,1.000
work-from-home-money-earning-virtual-triad,online-work-from-home-side-hustles-virtual-triad,override,1.000
xiaohongshu-monetization-weighted-notes-shop-relay,xiaohongshu-monetization-note-commerce-grid,override,1.000